RETAIL STORE OPENING CHECKLIST
Version 1.0 | Created by Goodok Shopfitting
============================================

Instructions: Mark each task as complete and track your timeline. Adjust the timeline based on your specific situation.

============================================
PHASE 1: PLANNING & RESEARCH (Weeks 1-4)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Define your target market and niche","Owner","Week 1","",""
[ ],"Research competitors in your area","Owner","Week 1","",""
[ ],"Create a detailed business plan","Owner","Week 2","",""
[ ],"Determine startup budget","Owner","Week 2","","Use Cost Calculator"
[ ],"Apply for business financing (if needed)","Owner","Week 2-3","",""
[ ],"Select business structure (LLC, Corp, etc.)","Owner","Week 3","",""
[ ],"Choose a business name","Owner","Week 3","",""
[ ],"Register your business","Owner","Week 4","",""

============================================
PHASE 2: LOCATION & LEASE (Weeks 4-6)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Identify potential locations","Owner","Week 4","",""
[ ],"Analyze foot traffic and demographics","Owner","Week 4","",""
[ ],"Negotiate lease terms","Owner/Attorney","Week 5","",""
[ ],"Review lease with attorney","Attorney","Week 5","",""
[ ],"Sign lease agreement","Owner","Week 6","",""
[ ],"Get keys and access","Owner","Week 6","",""

============================================
PHASE 3: LICENSES & PERMITS (Weeks 5-8)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Apply for EIN (Tax ID)","Owner","Week 5","","Free from IRS.gov"
[ ],"Apply for state sales tax permit","Owner","Week 5","",""
[ ],"Apply for business license","Owner","Week 5","",""
[ ],"Health department permit (if food)","Owner","Week 6","",""
[ ],"Fire safety inspection","Fire Dept","Week 7","",""
[ ],"Obtain certificate of occupancy","City","Week 8","",""
[ ],"Apply for any special permits","Owner","Week 6","","Alcohol, tobacco, etc."

============================================
PHASE 4: STORE DESIGN & BUILD-OUT (Weeks 6-10)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Create store layout plan","Owner/Designer","Week 6","","Use Layout Templates"
[ ],"Hire contractor (if needed)","Owner","Week 6","",""
[ ],"Complete electrical work","Electrician","Week 7","",""
[ ],"Complete plumbing work (if needed)","Plumber","Week 7","",""
[ ],"Install flooring","Contractor","Week 7-8","",""
[ ],"Paint walls and ceilings","Contractor","Week 8","",""
[ ],"Install lighting","Electrician","Week 8","",""
[ ],"Order fixtures and shelving","Owner","Week 7","","⭐ Contact Goodok"
[ ],"Receive and install fixtures","Owner","Week 9","",""
[ ],"Install signage","Sign Company","Week 9","",""

============================================
PHASE 5: TECHNOLOGY & SYSTEMS (Weeks 8-10)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Select and order POS system","Owner","Week 8","",""
[ ],"Set up internet service","ISP","Week 8","",""
[ ],"Install security cameras","Security Co.","Week 9","",""
[ ],"Set up alarm system","Security Co.","Week 9","",""
[ ],"Configure POS and train on usage","Owner","Week 10","",""
[ ],"Set up accounting software","Owner","Week 10","","QuickBooks, Xero, etc."
[ ],"Create inventory system","Owner","Week 10","",""

============================================
PHASE 6: INVENTORY & SUPPLIERS (Weeks 8-11)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Research and contact suppliers","Owner","Week 8","",""
[ ],"Negotiate terms with vendors","Owner","Week 9","","Payment terms, minimums"
[ ],"Place initial inventory orders","Owner","Week 9","",""
[ ],"Receive and inspect inventory","Owner","Week 10-11","",""
[ ],"Tag and price all items","Staff","Week 11","",""
[ ],"Organize merchandise displays","Owner","Week 11","",""
[ ],"Set up inventory tracking","Owner","Week 11","",""

============================================
PHASE 7: STAFFING (Weeks 8-11)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Determine staffing needs","Owner","Week 8","",""
[ ],"Write job descriptions","Owner","Week 8","",""
[ ],"Post job listings","Owner","Week 8-9","","Indeed, local job boards"
[ ],"Interview candidates","Owner","Week 9-10","",""
[ ],"Complete background checks","Owner","Week 10","",""
[ ],"Hire employees","Owner","Week 10","",""
[ ],"Set up payroll","Owner/Accountant","Week 10","",""
[ ],"Train employees","Owner","Week 11","",""

============================================
PHASE 8: MARKETING & PROMOTION (Weeks 9-12)
============================================
Status,Task,Responsible,Target Date,Completed Date,Notes
[ ],"Create logo and branding","Designer","Week 9","",""
[ ],"Build website","Developer/Owner","Week 9-10","",""
[ ],"Set up social media accounts","Owner","Week 10","","IG, FB, TikTok"
[ ],"Create Google My Business listing","Owner","Week 10","",""
[ ],"Order business cards and marketing materials","Owner","Week 10","",""
[ ],"Plan grand opening event","Owner","Week 10","",""
[ ],"Send press release to local media","Owner","Week 11","",""
